value_scale,deposit_cap,audit_recovery,effective_cap,cells,deposit_only_coverage,reject_large_cell_fraction,deposit_or_reject_coverage,max_uncovered_premium
50.0,40.0,0.5,20.0,135,0.725925925925926,0.2740740740740741,1.0,48.41375478384015
50.0,40.0,1.0,40.0,135,0.8962962962962963,0.1037037037037037,1.0,48.41375478384015
50.0,80.0,0.5,40.0,135,0.8962962962962963,0.1037037037037037,1.0,48.41375478384015
50.0,80.0,1.0,80.0,135,1.0,0.0,1.0,0.0
50.0,160.0,0.5,80.0,135,1.0,0.0,1.0,0.0
50.0,160.0,1.0,160.0,135,1.0,0.0,1.0,0.0
100.0,40.0,0.5,20.0,135,0.6296296296296297,0.37037037037037035,1.0,96.8275095676803
100.0,40.0,1.0,40.0,135,0.725925925925926,0.2740740740740741,1.0,96.8275095676803
100.0,80.0,0.5,40.0,135,0.725925925925926,0.2740740740740741,1.0,96.8275095676803
100.0,80.0,1.0,80.0,135,0.8962962962962963,0.1037037037037037,1.0,96.8275095676803
100.0,160.0,0.5,80.0,135,0.8962962962962963,0.1037037037037037,1.0,96.8275095676803
100.0,160.0,1.0,160.0,135,1.0,0.0,1.0,0.0
200.0,40.0,0.5,20.0,135,0.5703703703703704,0.42962962962962964,1.0,193.6550191353606
200.0,40.0,1.0,40.0,135,0.6296296296296297,0.37037037037037035,1.0,193.6550191353606
200.0,80.0,0.5,40.0,135,0.6296296296296297,0.37037037037037035,1.0,193.6550191353606
200.0,80.0,1.0,80.0,135,0.725925925925926,0.2740740740740741,1.0,193.6550191353606
200.0,160.0,0.5,80.0,135,0.725925925925926,0.2740740740740741,1.0,193.6550191353606
200.0,160.0,1.0,160.0,135,0.8962962962962963,0.1037037037037037,1.0,193.6550191353606
